client_id,predicted_cluster
2410174227,Low Value Individual
6528780591,Low Value Individual
3545357487,Low Value Individual
8990329238,Mid Value Individual
6252643105,High Value Individual
2659264060,Mid Value Individual
3646193433,Low Value Individual
5329310364,Low Value Individual
5809457856,Mid Value Individual
4592051576,Low Value Individual
2804394569,Mid Value Individual
9188986621,Mid Value Individual
7761466839,Mid Value Individual
4837679948,High Value Individual
6114755156,Mid Value Individual
4978584372,Mid Value Individual
9008217975,Mid Value Individual
9541452797,High Value Individual
1667476809,Low Value Individual
4026701206,High Value Individual
1087037817,Low Value Individual
1226292658,High Value Individual
1011723299,Low Value Individual
8921718920,Mid Value Individual
1803852032,High Value Individual
4973315533,Low Value Individual
9661632793,High Value Individual
9319631239,Low Value Individual
8705293025,Mid Value Individual
8217465889,High Value Individual
